average_flow_time,average_tardiness,episode_length,episode_return,episodes,jobs_completed,makespan,penalty_count,steps,steps_per_second,total_major_setups,total_minor_setups,total_tardiness
0,-28243.333416918613,1281,86840.21,30,159,30189.00005951873,72,38430,13.321986416923306,153,70,-2033520.0060181401
0,-30028.676442044518,1281,90834.445,31,159,33240.99996652687,68,39711,13.90247602865242,151,66,-2041949.9980590271
0,-35318.35615186075,1281,85825.445,32,159,34296.99997747084,73,40992,13.370419068193744,152,66,-2578239.999085835
0,-37405.62127370434,1281,92802.734,33,159,45168.00009445171,66,42273,13.967184693807502,152,65,-2468771.0040644864
0,-29161.781074209157,1281,94856.35,34,159,29048.999821875477,64,43554,14.244531117215264,147,66,-1866353.988749386
0,-22280.340952068193,1281,114932.25,35,159,20807.000127712963,44,44835,13.26432828410718,152,62,-980335.0018910004
0,-21013.755148508233,1281,109853.91,36,159,18653.000078189652,49,46116,12.77121895769953,152,66,-1029674.0022769035
0,-35935.12370156769,1281,69800.63,37,159,33440.00011018361,89,47397,13.311367020926754,151,62,-3198226.0094395243
0,-55169.24758992004,1281,61761.43,38,159,63638.00031866296,97,48678,13.519354942515527,153,73,-5351417.016222244
0,-43504.44092384927,1281,65781.9,39,159,45454.00011796155,93,49959,13.828712430071123,151,54,-4045913.005917982
0,-23395.271152681573,1281,99880.93,40,159,22130.999982071808,59,51240,13.72641652401058,150,70,-1380320.9980082128
0,-25401.389916039967,1281,99854.54,41,159,24966.000197371468,59,52521,14.805041934567747,149,64,-1498682.005046358
0,-27834.03701973038,1281,104868.305,42,159,28753.999945723917,54,53802,14.721176626355946,148,61,-1503037.9990654404
0,-21895.860026868737,1281,108911.36,43,159,22162.000073920935,50,55083,13.255597729465016,151,59,-1094793.0013434368
0,-29750.557427745727,1281,97842.74,44,159,27579.0000591008,61,56364,14.021505858768277,149,64,-1814784.0030924894
9616.837515650026,-22245.980023146374,1165,110217.72,45,160,21631.000022389926,50,57529,13.389914540676966,150,64,-1112299.0011573187
9990.950020506796,-21409.634631234534,1132,108262.69,46,160,18221.9999967271,52,58661,14.094426234078755,153,69,-1113301.0008241958
9532.825014506954,-22008.44001132599,1173,110203.81,47,160,23187.99997865688,50,59834,13.553735611979153,150,70,-1100422.0005662995
11059.650028050528,-27089.87276308499,1176,105164.56,48,160,31659.00002434966,55,61010,13.640256263515965,149,67,-1489943.0019696744
12095.987508605802,-31295.59676936024,1162,98161.33,49,160,33953.99996867287,62,62172,13.242306030424224,148,72,-1940326.9997003349
11048.412497820427,-26466.218180043434,1126,105191.914,50,160,27705.00002818182,55,63298,13.592045877610582,149,65,-1455641.9999023888
12271.26879029825,-29890.237353740406,1176,101150.01,51,160,36609.00016869884,59,64474,13.895462225712286,153,72,-1763524.003870684
11784.50002524902,-29252.964333095773,1155,104172.664,52,160,33238.000157229835,56,65629,15.714158127785398,153,67,-1638166.0026533634
10358.125018253115,-23115.956552850497,1151,114211.2,53,160,27246.000095427735,46,66780,16.45097663938603,151,64,-1063334.001431123
10274.556272043788,-23138.354187033157,1157,112215.695,54,160,24018.99998591165,48,67937,16.02996942912451,152,68,-1110641.0009775916
10225.43127792111,-23662.063845688986,1164,113199.984,55,160,26335.999992201105,47,69101,13.289021557450933,151,80,-1112117.0007473824
11221.493802369572,-26059.16401128006,1157,99186.85,56,160,27530.000088391826,61,70258,12.952235271800262,146,78,-1589609.0046880837
