average_flow_time,average_tardiness,episode_length,episode_return,episodes,jobs_completed,makespan,penalty_count,steps,steps_per_second,total_major_setups,total_minor_setups,total_tardiness
0,0,1,-1.0,865,0,0,0,1767,13.85571151552791,0,0,0
0,0,1,-1.0,866,0,0,0,1768,14.051787503057064,0,0,0
0,0,1,-1.0,867,0,0,0,1769,14.134609422389971,0,0,0
0,0,1,-1.0,868,0,0,0,1770,14.019426562113525,0,0,0
0,0,1,-1.0,869,0,0,0,1771,14.181396465389284,0,0,0
0,0,1,-1.0,870,0,0,0,1772,14.143617792555075,0,0,0
0,0,1,-1.0,871,0,0,0,1773,13.253778506672228,0,0,0
0,0,1,-1.0,872,0,0,0,1774,14.231342650556625,0,0,0
0,0,1,-1.0,873,0,0,0,1775,14.011511723852252,0,0,0
0,0,1,-1.0,874,0,0,0,1776,13.835692443699674,0,0,0
0,0,1,-1.0,875,0,0,0,1777,14.009639697114437,0,0,0
0,0,1,-1.0,876,0,0,0,1778,14.209309573819365,0,0,0
0,0,1,-1.0,877,0,0,0,1779,14.182355507014584,0,0,0
0,0,1,-1.0,878,0,0,0,1780,14.094284398952919,0,0,0
0,0,1,-1.0,879,0,0,0,1781,13.729758748240531,0,0,0
0,0,1,-1.0,880,0,0,0,1782,13.901266401742006,0,0,0
0,0,1,-1.0,881,0,0,0,1783,14.86319340595477,0,0,0
0,0,1,-1.0,882,0,0,0,1784,14.630561495181055,0,0,0
0,0,1,-1.0,883,0,0,0,1785,14.821543039079534,0,0,0
0,0,1,-1.0,884,0,0,0,1786,14.747696938158395,0,0,0
0,0,1,-1.0,885,0,0,0,1787,14.89713764113784,0,0,0
0,0,1,-1.0,886,0,0,0,1788,14.880594896829678,0,0,0
0,0,1,-1.0,887,0,0,0,1789,14.668116818851045,0,0,0
0,0,1,-1.0,888,0,0,0,1790,15.09806914227297,0,0,0
0,0,1,-1.0,889,0,0,0,1791,14.779760876995775,0,0,0
0,0,1,-1.0,890,0,0,0,1792,15.048935994632433,0,0,0
0,0,1,-1.0,891,0,0,0,1793,14.700814199242231,0,0,0
0,0,1,-1.0,892,0,0,0,1794,14.68146608001064,0,0,0
