loss,steps,walltime
0.02815419,169,11.727576971054077
0.005146108,170,11.793996095657349
0.016234443,171,11.860399007797241
0.010195069,172,11.926649332046509
0.009677114,173,11.991273880004883
0.010801866,174,12.056201219558716
0.0047509116,175,12.123870611190796
0.009122158,176,12.190072059631348
0.015024814,177,12.256253719329834
0.016614892,178,12.321701765060425
0.014166597,179,12.38695502281189
0.008288601,180,12.45151686668396
0.0014997575,181,12.516346454620361
0.016216002,182,12.582319974899292
0.014952957,183,12.64678692817688
0.033741944,184,12.711941719055176
0.0020433709,185,12.775263786315918
0.0224737,186,12.839217185974121
0.015875,187,12.903821468353271
0.009774136,188,12.968583822250366
0.0015474082,189,13.036343812942505
0.024886673,190,13.106324911117554
0.016545083,191,13.16808795928955
0.020679878,192,13.23216700553894
0.0078026257,193,13.294597387313843
